Date,Open,High,Low,Close,Adj Close,Volume
2024-03-28,524.95,533.5,521.6,528.9,527.16,4207650
2024-03-27,513.3,527,513.3,516.65,514.95,3169799
2024-03-26,520.95,528.7,509.45,513.2,511.51,2405945
2024-03-22,504.8,517.5,500.05,515.45,513.76,2676903
2024-03-21,494.5,507,492.8,504.55,502.89,2459438
2024-03-20,482,494.9,478.65,489.15,487.54,1667394
2024-03-19,487.95,495.9,475,482.8,481.21,1848152
2024-03-18,500,502.15,481,495.4,493.77,2663154
2024-03-15,481,499.5,472.55,497.9,496.26,5941930
2024-03-14,460,481.85,452.2,476.85,475.28,3198205
2024-03-13,507.8,507.8,460,461.05,459.54,5554982
2024-03-12,509,513.95,491.15,509.3,507.63,3644807
2024-03-11,516,516.8,501.55,509,507.33,1647238
2024-03-07,514,527,510.75,515.25,513.56,1551197
2024-03-06,512.7,516.4,494.25,512.05,510.37,3355263
2024-03-05,517,519.8,507.1,509.5,507.83,1265026
2024-03-04,506.8,520.7,506,516.9,515.2,7041914
2024-03-01,508.3,514.8,501.25,503.65,502,4229025
2024-02-29,507,511.8,490.2,508.3,506.63,6047978
2024-02-28,522.5,523.5,503,507.6,505.93,3249733
2024-02-27,525.45,532.5,500.85,521.85,520.14,5937986
2024-02-26,511.5,537.95,510.25,523.7,521.98,14220530
2024-02-23,489.75,510.75,486.1,506.85,505.19,5304876
2024-02-22,485.9,496.6,482.8,488,486.4,2107198
2024-02-21,490.6,494,480.6,484.65,483.06,1545884
2024-02-20,497.75,498,486.5,490.6,488.99,2420333
2024-02-19,484.1,501.9,480.5,499.25,497.61,4573746
2024-02-16,488.4,489.5,479.15,480.45,478.87,1131246
2024-02-15,484.5,493.3,483,484.15,482.56,2197718
2024-02-14,474,485.7,474,479.7,478.12,2319951
2024-02-13,507.45,507.45,484.75,487.05,485.45,4131893
2024-02-12,507.65,521.65,494.5,497.2,495.57,6118550
2024-02-09,509,511.9,484.1,500.2,498.56,3188552
2024-02-08,496.9,520,496.8,506.85,505.19,5703530
2024-02-07,493.9,509.35,491.7,493.95,492.33,3369728
2024-02-06,495.2,503.8,487.1,491.65,490.04,2051836
2024-02-05,487.8,506.95,485.8,492.9,491.28,2921559
2024-02-02,494.8,501.85,477.85,482.9,481.31,2771930
2024-02-01,507.5,507.5,490,491.65,490.04,1925034
2024-01-31,494.5,508.6,491.15,504.75,503.09,2885641
2024-01-30,499,500.4,487.65,489.95,488.34,1725003
2024-01-29,492.45,504.85,490.95,496.3,494.67,2296482
