Date,Open,High,Low,Close,Adj Close,Volume
2024-03-28,90.4,90.95,88.7,89.7,89.24,79330957
2024-03-27,86.25,90.6,86.25,88.85,88.4,120301969
2024-03-26,85.5,86.45,84.65,85.7,85.26,50935015
2024-03-22,83.55,86.55,83.55,85.05,84.62,76449026
2024-03-21,84.1,85.35,83.4,84.1,83.67,70691447
2024-03-20,83,83.75,80.7,82.85,82.43,71356984
2024-03-19,82.5,83.5,81.5,82.45,82.03,74817247
2024-03-18,84.1,85.9,82,82.5,82.08,111196804
2024-03-15,85.05,87.8,80.6,82.95,82.53,160183221
2024-03-14,78.55,86.7,73.6,85.05,84.62,218653139
2024-03-13,86.15,86.5,77.35,78.15,77.75,191612158
2024-03-12,89.95,90.45,86.3,86.65,86.21,65379094
2024-03-11,90.6,91.95,89.35,90.15,89.69,63463093
2024-03-07,91.5,91.55,89.75,90.05,89.59,59575340
2024-03-06,93.6,95.5,90.8,91.5,91.03,120174834
2024-03-05,89,93.2,88.2,92.45,91.98,115253956
2024-03-04,91,91.45,88.8,89.1,88.64,52574324
2024-03-01,89,91.65,88.9,89.85,89.39,74783203
2024-02-29,88.1,89.3,86.05,88.15,87.7,105860700
2024-02-28,90.7,91.4,87.05,88.05,87.6,77320909
2024-02-27,92.5,93,89.85,90.2,89.74,60296472
2024-02-26,90.75,94.1,90.55,92.2,91.73,91726112
2024-02-23,94.5,94.8,91.15,91.65,91.18,85253172
2024-02-22,92.4,94.9,88.6,94.1,93.62,172188774
2024-02-21,95.75,96.5,91.55,92.65,90.78,114645187
2024-02-20,97.6,98.7,94.2,94.8,92.89,134072640
2024-02-19,94.4,98.9,94.05,96.8,94.85,222980210
2024-02-16,93.3,95.9,92.1,92.85,90.98,136095716
2024-02-15,90.9,96.55,89.35,92.6,90.73,284629734
2024-02-14,84.05,89.8,83.05,88.55,86.77,252396060
2024-02-13,80.95,87.85,77.5,85.8,84.07,400673877
2024-02-12,95.5,95.9,77.65,81,79.37,389284421
2024-02-09,102.2,102.2,92.5,96.25,94.31,220190578
2024-02-08,103.75,104.75,100,101.5,99.46,117672992
2024-02-07,102.95,105.25,100.8,102.7,100.63,166753801
2024-02-06,107.05,109.1,100.1,101.25,99.21,249855866
2024-02-05,105.75,115.85,98.55,103.65,101.56,624762919
2024-02-02,92.85,103,92.25,100.65,98.62,502923653
2024-02-01,91.95,93.95,90.2,91.4,89.56,171023321
2024-01-31,88.45,91.75,87.85,90.95,89.12,139472846
2024-01-30,89.55,92,87.2,87.6,85.84,241812307
2024-01-29,85.5,89.6,84.8,86.95,85.2,229399393
2024-01-25,81.5,84.4,80.45,83.3,81.62,143423574
2024-01-24,76.5,81.7,75.45,80.4,78.78,159093882
2024-01-23,83.3,84.15,75.2,75.95,74.42,181342574
2024-01-19,70.35,75.35,70.15,73.55,72.07,223892254
2024-01-18,69,72.15,68.55,71.1,69.67,157329595
2024-01-17,71.45,74.4,70.15,73,71.53,54032963
2024-01-16,72.9,74.1,71.15,72.35,70.89,46560482
2024-01-15,69.6,73.1,69.6,72.45,70.99,68548194
2024-01-12,69.45,70.35,68.55,69.15,67.76,26246971
2024-01-11,69.7,69.9,68.55,69.1,67.71,19700812
2024-01-10,70.45,70.45,68.4,69.15,67.76,35907742
