Date,Open,High,Low,Close,Adj Close,Volume
2024-03-28,39,40.4,38.6,40.4,40.4,44688873
2024-03-27,37.4,38.95,37.1,38.5,38.5,92336818
2024-03-26,37.5,37.65,36.8,37.1,37.1,25064700
2024-03-22,37,37.95,36.35,37.35,37.35,17891396
2024-03-21,37,38.1,36.5,37.3,37.3,54916534
2024-03-20,37.15,37.7,35.6,36.3,36.3,26893468
2024-03-19,38.4,38.4,36.8,37.15,37.15,20548501
2024-03-18,38.85,38.9,37.7,38.55,38.55,22647157
2024-03-15,39,40,37.5,39.4,39.4,144957453
2024-03-14,35.5,39.2,35.5,39.05,39.05,67013191
2024-03-13,38.5,39.3,37.35,37.35,37.35,38160910
2024-03-12,39.35,40,37.4,39.3,39.3,47404379
2024-03-11,41.5,42,39,39.35,39.35,39527748
2024-03-07,37.2,40.6,37.2,40.6,40.6,58288425
2024-03-06,39,39,38.7,38.7,38.7,29049668
2024-03-05,41.65,41.65,40.7,40.7,40.7,53278004
2024-03-04,42.8,43.8,41.75,42.8,42.8,55074786
2024-03-01,45.6,46,44.1,44.3,44.3,22093410
2024-02-29,43,45.35,41.05,45.25,45.25,117200579
2024-02-28,44.6,44.65,42.35,43.2,43.2,36887600
2024-02-27,44.2,45,43.5,44.55,44.55,22624252
2024-02-26,45.75,45.75,43.35,43.75,43.75,30050547
2024-02-23,45.15,45.6,44.8,44.9,44.9,25286705
2024-02-22,44.85,45.3,43.8,44.8,44.8,23276564
2024-02-21,45.95,46,43.75,44.75,44.75,30440623
2024-02-20,46.65,46.85,45.6,45.8,45.8,20108565
2024-02-19,47.5,47.6,46.05,46.15,46.15,19476010
2024-02-16,47.7,47.7,46,46.85,46.85,23858185
2024-02-15,46.95,47.75,46.5,47.05,47.05,44781950
2024-02-14,42.45,46.05,42.05,46.05,46.05,59861806
2024-02-13,43.65,44.65,42.75,43.9,43.9,135410453
2024-02-12,47.95,48.2,45,45,45,65398403
2024-02-09,49.35,49.4,46.9,47.35,47.35,90732188
2024-02-08,49.5,49.75,48.5,49.35,49.35,53850076
2024-02-07,48.2,49.95,48.2,49.25,49.25,64866228
2024-02-06,48.8,48.8,47.2,48,48,53168885
2024-02-05,49.6,50,47.5,48.25,48.25,112297989
2024-02-02,49.9,50.6,48,48.6,48.6,219513812
2024-02-01,47.3,48.2,47,48.2,48.2,195541083
2024-01-31,44.4,45.95,44.2,45.95,45.95,145374835
2024-01-30,43.5,44.85,42.75,43.8,43.8,88270852
2024-01-29,43,43.85,42.55,43.25,43.25,64987571
2024-01-25,41.65,43,40.9,42.55,42.55,53839790
2024-01-24,41.6,41.6,40.35,41.2,41.2,33524849
2024-01-23,42.5,43,40.2,41.15,41.15,61821069
2024-01-19,43.5,44.45,41.45,41.85,41.85,118653572
2024-01-18,40.9,42.9,40.1,42.9,42.9,77361249
2024-01-17,41.5,42.65,40.35,40.9,40.9,62350656
2024-01-16,44,44.2,41.65,42.05,42.05,73662300
2024-01-15,45.2,45.7,43.7,43.85,43.85,73414515
2024-01-12,43.8,45.4,43.15,44.9,44.9,88210161
2024-01-11,43.9,44,42.7,43.6,43.6,48037394
2024-01-10,44.1,44.2,42.3,43.55,43.55,54417493
2024-01-09,43.25,44,41.5,43.55,43.55,103582158
2024-01-08,41.5,42.6,40,42.6,42.6,92602484
2024-01-05,38.9,40.6,38.7,40.6,40.6,75799676
2024-01-04,37.8,39.3,37.75,38.7,38.7,38232279
2024-01-03,38.25,38.25,37.7,37.8,37.8,21788140
2024-01-02,38.7,38.8,37.1,38.25,38.25,30864924
2024-01-01,38.5,38.6,38,38.5,38.5,35078873
2023-12-29,38.55,38.7,38,38.2,38.2,28153967
2023-12-28,37.2,38.5,37.1,38.15,38.15,49428774
2023-12-27,37.3,37.3,36.2,37.05,37.05,29736305
2023-12-26,37.25,37.65,36.55,36.9,36.9,24483621
2023-12-22,37.5,38,36.5,37.25,37.25,27363287
2023-12-21,34.3,37.25,33.9,37.1,37.1,68214659
2023-12-20,37.9,38.15,35.65,35.65,35.65,60110787
2023-12-19,37.85,37.9,36.8,37.5,37.5,46279926
2023-12-18,38.75,38.75,37.5,37.85,37.85,34128022
2023-12-15,37.3,39.2,36,38.55,38.55,135917707
2023-12-14,38.2,38.6,37.1,37.35,37.35,58576341
2023-12-13,38.6,38.75,37.5,38.2,38.2,38010747
2023-12-12,39.5,39.5,38.4,38.5,38.5,33308747
2023-12-11,38.85,39.5,38,39.2,39.2,59585051
2023-12-08,39.6,39.6,38,38.75,38.75,35448583
2023-12-07,38.95,40,38,39.05,39.05,51193825
2023-12-06,39.5,39.5,38.4,38.95,38.95,49075379
2023-12-05,40.5,40.5,38.85,39.65,39.65,52174216
2023-12-04,41,41,39.7,40.1,40.1,40525430
2023-12-01,40,40.4,39,39.4,39.4,63576805
2023-11-30,40.35,41,38.1,40.75,40.75,811525884
2023-11-29,39.45,40.3,37.6,39.6,39.6,98361673
2023-11-28,41.35,41.7,38.7,38.95,38.95,116147704
2023-11-24,40,41.15,39.45,40.6,40.6,117045798
2023-11-23,35.5,39.2,35.5,39.2,39.2,102656993
2023-11-22,37.75,38.5,37.35,37.35,37.35,42657149
2023-11-21,41.5,41.5,39.3,39.3,39.3,111694707
2023-11-20,42.5,43,40.2,41.35,41.35,130271353
2023-11-17,42.9,44,40.3,42.3,42.3,161956692
2023-11-16,40.5,42.5,40.5,42.1,42.1,115717878
2023-11-15,39.95,40.55,39.55,40.5,40.5,143082003
2023-11-13,38.6,39.25,37.8,38.65,38.65,45335763
2023-11-10,37.5,38.25,37.1,37.9,37.9,45379797
2023-11-09,38,38.45,37,37.3,37.3,49396345
2023-11-08,37.8,39.2,36.8,37.4,37.4,113882054
2023-11-07,37,37.4,35,37.35,37.35,145813507
2023-11-06,35.95,35.95,35.95,35.95,35.95,15536896
2023-11-03,33.2,34.25,33,34.25,34.25,76623253
2023-11-02,31.9,32.85,31.35,32.65,32.65,52429624
2023-11-01,30.7,31.6,30.6,31.3,31.3,39955174
2023-10-31,32,32,30,30.6,30.6,49276497
2023-10-30,32.7,32.8,31.25,31.55,31.55,42405596
2023-10-27,32,32.9,31.95,32.1,32.1,80529369
2023-10-26,31.25,31.95,30.3,31.4,31.4,99436973
2023-10-25,32.1,33.1,30.3,31.9,31.9,98053560
2023-10-23,33.25,34.1,31.4,31.8,31.8,130338329
2023-10-20,31.45,33.15,31,32.5,32.5,373269936
2023-10-19,31,32.1,30,31.6,31.6,135200931
2023-10-18,30.25,30.95,29.8,30.95,30.95,131127521
2023-10-17,28.9,29.5,28.65,29.5,29.5,111721555
2023-10-16,27.6,28.1,27.05,28.1,28.1,73809145
2023-10-13,27.2,27.45,26.6,26.8,26.8,39585232
2023-10-12,28.25,28.6,27.05,27.15,27.15,70399620
2023-10-11,26.5,27.65,26.45,27.65,27.65,45365872
2023-10-10,26.5,27.4,26.3,26.35,26.35,80186599
2023-10-09,28.2,28.35,27.65,27.65,27.65,151080200
2023-10-06,28.85,29.8,28.4,29.1,29.1,273969163
2023-10-05,28.6,29.5,28.55,29.5,29.5,285672016
2023-10-04,27.35,28.25,27.1,28.1,28.1,346015638
2023-10-03,25.95,27.05,25.75,26.95,26.95,215807142
2023-09-29,25.85,26.2,25.55,25.8,25.8,76660245
2023-09-28,25.7,26.4,25.45,25.65,25.65,75375280
2023-09-27,25.1,25.9,25.05,25.65,25.65,94771055
2023-09-26,25.6,26.1,24.95,26,26,110565689
2023-09-25,25.75,26.05,25.1,25.5,25.5,71458712
2023-09-22,25.65,25.85,24.5,25.05,25.05,95275738
2023-09-21,25.85,26.25,25.15,25.5,25.5,166438893
2023-09-20,24.95,25.95,24.5,25.85,25.85,166418138
2023-09-18,24.7,25.1,24.5,24.75,24.75,142270040
2023-09-15,23.6,24.4,23.15,24.2,24.2,225766744
2023-09-14,22.35,23.25,21.75,23.25,23.25,178268509
2023-09-13,22.2,22.5,21.7,22.15,22.15,236321372
2023-09-12,24.15,24.2,22.8,22.8,22.8,146034046
2023-09-11,24.3,24.4,23.75,24,24,93344063
2023-09-08,24.2,24.3,23.65,24.05,24.05,87741294
2023-09-07,24.1,24.95,23.55,24.1,24.1,170673034
2023-09-06,23.8,24.4,23.4,23.8,23.8,107987698
2023-09-05,24.6,24.9,23.5,23.6,23.6,131411045
2023-09-04,25.45,25.7,23.85,24.1,24.1,189499859
2023-09-01,24.55,25.75,23.95,25,25,209113483
2023-08-31,26.5,27.05,24.55,24.55,24.55,413958502
2023-08-30,25.85,25.85,25.35,25.85,25.85,88452282
2023-08-29,24,24.65,23.95,24.65,24.65,203593052
2023-08-28,23.4,23.5,23.25,23.5,23.5,192627964
2023-08-25,21.65,22.55,21.55,22.4,22.4,166449370
2023-08-24,22.75,22.85,21.25,21.5,21.5,269657749
2023-08-23,21,21.85,21,21.85,21.85,204874807
2023-08-22,19.95,20.85,19.95,20.85,20.85,189624524
2023-08-21,20.1,20.15,19.8,19.9,19.9,71793107
2023-08-18,19.8,20.05,19.5,19.8,19.8,70016385
2023-08-17,19.85,20,19.4,19.7,19.7,130822363
2023-08-16,20.05,20.5,20.05,20.25,20.25,66006572
2023-08-14,19.55,20.2,19.3,20.05,20.05,110526997
2023-08-11,20.75,21.25,19.8,20.2,20.2,193133275
2023-08-10,19.95,20.45,19.9,20.45,20.45,198521194
2023-08-09,18.95,19.5,18.9,19.5,19.5,204669757
2023-08-08,18.65,18.95,18.35,18.6,18.6,107177129
2023-08-07,18.6,19,18.25,18.65,18.65,119709706
2023-08-04,18,18.8,18,18.4,18.4,241151653
2023-08-03,18.45,18.45,17.7,17.95,17.95,122802683
2023-08-02,19.35,19.35,18.35,18.5,18.5,229699866
2023-08-01,19.55,19.85,19.1,19.3,19.3,167771796
2023-07-31,18.2,18.95,18.05,18.95,18.95,123353716
2023-07-28,17.8,18.25,17.7,18.05,18.05,97658422
2023-07-27,17.65,18.4,17.45,17.85,17.85,250669150
2023-07-26,18.05,18.05,18.05,18.05,18.05,41086178
2023-07-25,20.25,20.8,19,19,19,276540698
2023-07-24,20.55,20.55,19.2,20,20,517944819
2023-07-21,19.25,19.6,19.1,19.6,19.6,86292023
2023-07-20,17.95,18.7,17.85,18.7,18.7,242575898
2023-07-19,18,18.1,17.8,17.85,17.85,48709437
2023-07-18,18.3,18.3,17.8,17.9,17.9,89012544
2023-07-17,18.25,18.45,18.1,18.2,18.2,129569292
2023-07-14,17.65,17.9,17.3,17.7,17.7,81517693
2023-07-13,18.15,18.35,17.45,17.55,17.55,149133001
2023-07-12,18,18.55,17.6,18,18,201949606
2023-07-11,17.5,18.2,17.05,17.95,17.95,369539889
2023-07-10,18.05,18.1,17.2,17.35,17.35,142507601
2023-07-07,17.55,18.3,17.45,17.85,17.85,267551084
2023-07-06,16.8,17.95,16.65,17.65,17.65,415023310
2023-07-05,17.95,18.15,17.4,17.4,17.4,264737406
2023-07-04,17.45,18.45,17.15,18.3,18.3,701973517
2023-07-03,15.75,16.8,15.75,16.8,16.8,389920926
2023-06-30,15.05,15.65,14.95,15.3,15.3,260744421
2023-06-28,14.2,15,14.2,14.75,14.75,204357357
2023-06-27,14.05,14.4,14,14.1,14.1,81222094
2023-06-26,13.95,14.25,13.65,14,14,93075149
2023-06-23,13.6,14.15,13.25,13.85,13.85,133077725
2023-06-22,14.05,14.1,13.3,13.6,13.6,150787608
2023-06-21,14.3,14.55,13.85,14,14,134315767
2023-06-20,14.65,14.7,13.65,14.25,14.25,196840707
2023-06-19,14.95,15.05,14.25,14.55,14.55,163607569
2023-06-16,14.55,15.15,14.55,14.75,14.75,282491085
2023-06-15,14.4,14.6,14,14.45,14.45,178864927
2023-06-14,15.25,15.35,14.15,14.4,14.4,222177502
2023-06-13,15.4,15.75,14.75,15.1,15.1,390548184
