Date,Open,High,Low,Close,Adj Close,Volume
2024-03-28,391,398.9,391,394.2,392.38,16040575
2024-03-27,391.55,393.85,387.5,388.4,386.61,9084482
2024-03-26,390.5,394,387.75,390.1,388.3,9140496
2024-03-22,389.9,395.5,386.5,390.7,388.9,11759985
2024-03-21,385.1,394.35,384,392.15,390.34,16908086
2024-03-20,386,388.35,371.1,379.9,378.15,18068658
2024-03-19,392.15,392.9,381.1,383.25,381.48,14809242
2024-03-18,382.85,394.45,378.55,392.75,390.94,34069247
2024-03-15,384.45,388,372,380.75,378.99,20859247
2024-03-14,371.95,386.3,365.55,384.45,382.68,27089563
2024-03-13,399.25,399.8,367.75,371.95,370.24,36185918
2024-03-12,414.4,414.7,395,396.1,394.27,26812422
2024-03-11,414,421.5,404.65,413.15,411.25,39122073
2024-03-07,396,433.3,396,425.25,423.29,98883541
2024-03-06,396.15,397.6,384.7,394.95,393.13,15795532
2024-03-05,392,399.95,390.5,396.15,394.32,18795182
2024-03-04,381.05,394,380.2,391.75,389.94,25814019
2024-03-01,375.55,379.75,374.55,377.4,375.66,7853708
2024-02-29,367,374,363.05,371.75,370.04,8088079
2024-02-28,375.5,378.25,364.6,365.75,364.06,8577264
2024-02-27,379,379.5,373.95,375.55,373.82,6322898
2024-02-26,379,381.4,377.7,378.4,376.66,6228934
2024-02-23,379.35,381.75,377.5,378.4,376.66,5691333
2024-02-22,377.05,379.7,369.25,377.9,376.16,8449170
2024-02-21,380.7,383.85,373.5,375.45,373.72,10283746
2024-02-20,381,382.5,376.05,378.95,377.2,7298102
2024-02-19,383.1,385.8,379.1,380.5,378.75,12557987
2024-02-16,383,383,375.25,376.3,374.57,9592754
2024-02-15,376.65,382.35,374.75,378.85,377.1,16001298
2024-02-14,364.3,374.6,358.2,373.7,371.98,15216135
2024-02-13,361.7,366.5,354.6,365.05,363.37,21221871
2024-02-12,379.9,386.15,359.2,361.7,360.03,44078652
2024-02-09,412.9,412.9,384.05,392.1,390.29,38295877
2024-02-08,396.5,410.9,393.1,407.4,405.52,21626429
2024-02-07,395.7,401.75,392,395.15,393.33,13281036
2024-02-06,396.65,396.65,386.75,392.95,391.14,12288416
2024-02-05,395.5,402.5,390.2,394,392.18,22188678
2024-02-02,391.55,394.8,387.55,389.8,388,13340756
2024-02-01,392.1,396.7,385.45,388.85,387.06,25396799
2024-01-31,385,391.2,383.7,389.75,387.95,15543971
2024-01-30,386.1,392.8,382,383.25,381.48,23860682
2024-01-29,369.45,387.25,366.85,381.9,380.14,34448280
2024-01-25,358.95,366.7,358,365.1,363.42,19949672
2024-01-24,348.5,357.9,343.75,356.95,355.3,19810051
2024-01-23,365.5,365.75,341.2,346.2,344.6,25989141
2024-01-19,348,351.3,345.1,348.65,347.04,13483525
2024-01-18,347.8,350,335.3,345.55,343.96,16863929
2024-01-17,352.4,355.35,346.5,348.8,347.19,12084011
2024-01-16,358.95,360.7,349,353.45,351.82,14129539
2024-01-15,359.65,360.2,353,358.9,357.25,12869181
2024-01-12,361.65,361.85,356.55,357.75,356.1,20933438
2024-01-11,349.45,360,347.85,357.3,355.65,33499272
2024-01-10,342.2,348.75,340.75,346.45,344.85,23432704
2024-01-09,341.65,344.85,338.05,340.2,338.63,14504090
2024-01-08,344,344,337.35,338.95,337.39,14548833
2024-01-05,339.35,349.7,336.15,340.75,339.18,37557423
2024-01-04,326.8,340.8,326.8,337.85,336.29,26968463
2024-01-03,329.6,329.6,324.85,326.7,325.19,9954264
2024-01-02,331.7,332.7,319.6,329.85,328.33,15689859
2024-01-01,333.9,335.85,328.15,330.3,328.78,10096386
2023-12-29,330.1,336,326.05,332.15,330.62,19909151
2023-12-28,326.6,331,324,329.8,328.28,16182026
2023-12-27,327.05,329.9,321.65,324.85,323.35,10349372
2023-12-26,328.55,331.4,325,325.4,323.9,11314266
2023-12-22,331,332,323.55,326.65,325.14,15179674
2023-12-21,318,330.7,312.7,328.55,327.04,26393082
2023-12-20,336.7,346.9,318,320.15,318.67,40678163
2023-12-19,338.5,338.5,330.45,335.9,334.35,11713755
2023-12-18,339,340.3,334.4,337.05,335.5,15561817
2023-12-15,337.4,338.5,331.8,333.2,331.66,17080409
2023-12-14,340.9,341.9,335,335.4,333.85,16560229
2023-12-13,332.1,340.5,329.75,338.15,336.59,33632037
2023-12-12,335,335,327.6,330.8,329.28,22627713
2023-12-11,325.4,335.3,322.35,333.65,332.11,40351523
2023-12-08,331.95,335.95,318.1,323.55,322.06,74992149
2023-12-07,295,332.15,292.15,325.8,324.3,152381610
2023-12-06,281.55,298.6,280.2,294.15,292.79,45934967
2023-12-05,283,283.2,276.5,281.5,280.2,21565252
2023-12-04,285,286,278.9,281.55,280.25,28890541
2023-12-01,270,278.5,268.55,276,274.73,32159928
2023-11-30,273,273,265.1,267.9,266.67,20403510
2023-11-29,275,275.7,271.5,273.4,272.14,26392589
2023-11-28,259.4,271.4,258.5,270.8,269.55,24745437
2023-11-24,261.4,261.9,257.05,258.15,256.96,7153583
2023-11-23,262.1,263.75,259.8,260.75,259.55,5466513
2023-11-22,263.4,263.6,259.25,262.1,260.89,4537969
2023-11-21,263.75,265.4,260.75,262.65,261.44,6931541
2023-11-20,263.85,264.4,260.1,260.85,259.65,4859705
2023-11-17,262.9,264.95,261.4,262.65,261.44,6452353
2023-11-16,259.4,265.5,259.35,262.45,261.24,13551131
2023-11-15,259.2,262.25,258.1,259.2,258.01,8436750
2023-11-13,252.75,258.5,251.25,257.05,255.87,10251490
2023-11-10,248,251.85,246.85,251.4,250.24,6974541
2023-11-09,254,254,247.2,248,246.86,15388769
2023-11-08,252.9,256.35,251.5,254.95,253.77,13131393
2023-11-07,249.95,252,248.9,249.8,248.65,7066697
2023-11-06,247,251.2,245.6,249.55,248.4,9389448
2023-11-03,245.85,246.15,243.9,244.6,243.47,5030180
2023-11-02,238,245.05,238,244.8,243.67,9816661
2023-11-01,239.95,240.25,236.3,236.9,235.81,4027707
2023-10-31,240.5,241.85,238.25,239.35,238.25,6266858
2023-10-30,238.5,239.9,235,239.1,238,5661460
2023-10-27,236.15,239,235.5,238.15,237.05,7031353
2023-10-26,235,235.35,230.8,234.4,233.32,9272278
2023-10-25,239.85,241.65,233.15,236.7,235.61,9555885
2023-10-23,248.35,248.75,236.3,238.25,237.15,9550108
2023-10-20,251.5,252.4,246.6,247.4,246.26,7678941
2023-10-19,252.55,252.9,249.5,252,250.84,4782988
2023-10-18,257,257.7,251.5,253.05,251.88,6003534
2023-10-17,256.85,259.3,256,256.9,255.72,6338761
2023-10-16,254.1,256.85,253.55,254.8,253.63,6720120
2023-10-13,254.45,255.9,253.2,254.1,252.93,4300916
2023-10-12,255.4,257.4,254.7,255.15,253.97,5375168
2023-10-11,255.2,256.4,253.1,253.95,252.78,6245802
2023-10-10,250.5,255,250.5,253.9,252.73,5951928
2023-10-09,255.1,255.95,249.1,250,248.85,11210941
2023-10-06,259.5,259.95,258.05,258.75,257.56,3828731
2023-10-05,258.6,260.2,256,257.8,256.61,6675848
2023-10-04,262.95,262.95,253.5,256.65,255.47,12531396
2023-10-03,262.55,266.5,260.8,263.95,262.73,7137959
2023-09-29,259.45,264.75,259.45,262.3,261.09,10214222
2023-09-28,262,264.25,257.3,258.05,256.86,11266992
2023-09-27,259.85,260.6,256.55,259.75,258.55,5650167
2023-09-26,257.1,263.75,257,259.85,258.65,9193002
2023-09-25,258.2,258.3,255,256.9,255.72,5384845
2023-09-22,257.15,259,254.25,257.1,255.91,6831744
2023-09-21,261.95,262,256.05,256.65,255.47,7948656
2023-09-20,265.35,267,261,262,260.79,9016803
2023-09-18,265.4,266.75,262.3,265.55,264.33,8425365
2023-09-15,267.1,267.95,263.1,263.95,262.73,7612098
2023-09-14,266.85,268,263.45,265.1,263.88,7915449
2023-09-13,263.5,267.6,261,265,263.78,11803636
2023-09-12,276,276,260,262.7,261.49,23738913
2023-09-11,274,274,269.15,271.9,270.65,16450404
2023-09-08,264.85,276.5,263.7,268.85,267.61,53019645
2023-09-07,258,266.35,256.3,263.7,262.48,17703150
2023-09-06,261,261.8,254.65,257.5,256.31,9250338
